ablation,eval,status,auroc,auroc_D,ap,ece,brier,nb@0.10,treat_all_nb@0.10,cal_auroc,cal_ece,temperature,n,error,disclaimer,metric_note
baseline,odir_val,ok,0.380952380952381,0.380952380952381,0.3055555555555555,0.3627834461629391,0.391905657575712,0.23333333333333334,0.2222222222222222,0.380952380952381,0.28905422742879594,1.8352607293733567,10,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
baseline,odir_to_brset,ok,0.5581395348837209,0.5581395348837209,0.16140707445769006,0.3574688970499361,0.2918061669351025,-1.3877787807814457e-17,0.0046296296296296224,0.5581395348837209,0.34985276513876556,1.8352607293733567,48,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
learnq,odir_val,ok,0.7619047619047619,0.7619047619047619,0.6666666666666667,0.3188910961151123,0.21176361253103998,0.2222222222222222,0.2222222222222222,0.7619047619047619,0.399764500387241,0.050059310566816166,10,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
learnq,odir_to_brset,ok,0.4930232558139535,0.4930232558139535,0.1939209486166008,0.4141788007691503,0.30275530561697456,-0.009259259259259273,0.0046296296296296224,0.5023255813953489,0.480771009348396,0.050059310566816166,48,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
multitask,odir_val,ok,0.3630952380952381,0.5,0.335515873015873,0.6686676993966103,0.5785184718724616,0.05833333333333333,0.08333333333333334,0.3630952380952381,0.4011613242524412,9.999941916865449,10,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
multitask,odir_to_brset,ok,0.46195090439276487,0.5627906976744186,0.22364548729360237,0.48073316666220006,0.4153625589286524,0.02199074074074074,0.0162037037037037,0.46195090439276487,0.4002607400103907,9.999937402922829,48,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
full,odir_val,ok,0.5317460317460317,0.4375,0.4960506424792139,0.656375296600163,0.547875225540487,0.07222222222222222,0.08333333333333334,0.5317460317460317,0.4095006916527901,9.999939178539098,10,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
full,odir_to_brset,ok,0.4823458840900702,0.5162790697674419,0.13524535544222452,0.4751425213568533,0.38951982023443177,0.02083333333333333,0.0162037037037037,0.4823458840900702,0.44566298521567826,1.8104728349104693,48,,SYNTHETIC FEATURE CACHE - not for manuscript AUROC. Replace with real ODIR/BRSET images + extract_features.py before paper tables.,auroc=macro for multitask; auroc_D=ODIR D head (comparable across arms)
